case,model1_ts,model2_ts,ppl_diff,avgnll_diff,total_diff
Closure_111,20251218_075532,20251218_075543,0.36378926711559556,0.3071921723766903,0.6709814394922858
Jsoup_65,20251218_075532,20251218_075543,0.2919136696754363,0.2500448176507515,0.5419584873261878
JacksonDatabind_96,20251218_075532,20251218_075543,0.28409529774496867,0.2412365568806612,0.5253318546256298
Closure_18,20251218_075532,20251218_075543,0.27921801751411546,0.24482355702296457,0.52404157453708
JacksonDatabind_83,20251218_075532,20251218_075543,0.2621881216434201,0.2324270527349641,0.4946151743783842
Closure_48,20251218_075532,20251218_075543,0.21850500837182363,0.19757014675778725,0.4160751551296109
Math_50,20251218_075532,20251218_075543,0.18682711083940262,0.1699746124056376,0.3568017232450402
Mockito_13,20251218_075532,20251218_075543,0.18261570308228436,0.16750761992112362,0.350123323003408
Compress_4,20251218_075532,20251218_075543,0.18188178461767457,0.16475504316356082,0.3466368277812354
Cli_3,20251218_075532,20251218_075543,0.17530372940801464,0.15928136081700878,0.3345850902250234
JacksonDatabind_14,20251218_075532,20251218_075543,0.16629732477068093,0.1492224359031517,0.31551976067383264
Math_74,20251218_075532,20251218_075543,0.15973423651491703,0.14799260383006185,0.3077268403449789
Math_81,20251218_075532,20251218_075543,0.15713510435979838,0.145797141129151,0.30293224548894937
Collections_7,20251218_075532,20251218_075543,0.1540371942862584,0.14296666521113366,0.29700385949739205
Closure_132,20251218_075532,20251218_075543,0.14638376119580987,0.1365662212483585,0.28294998244416836
Time_26,20251218_075532,20251218_075543,0.13938204502780716,0.13023298470373162,0.2696150297315388
JacksonCore_22,20251218_075532,20251218_075543,0.1354937302655137,0.12649583094753325,0.26198956121304695
JacksonDatabind_31,20251218_075532,20251218_075543,0.14286474337328992,0.11040272495580561,0.2532674683290955
Closure_104,20251218_075532,20251218_075543,0.11391217361721373,0.10728280042668722,0.22119497404390095
Closure_59,20251218_075532,20251218_075543,0.11345020475014866,0.10725508003995039,0.22070528479009904
Collections_9,20251218_075532,20251218_075543,0.11224806592230197,0.10214167490149989,0.21438974082380186
JacksonCore_12,20251218_075532,20251218_075543,0.11018754906202699,0.10387808829545975,0.21406563735748674
JacksonDatabind_37,20251218_075532,20251218_075543,0.10627068354357139,0.10015669869524435,0.20642738223881574
Collections_15,20251218_075532,20251218_075543,0.10532079721226695,0.09724502001180607,0.20256581722407302
Collections_5,20251218_075532,20251218_075543,0.09890127936526882,0.09314796647529719,0.192049245840566
JacksonCore_23,20251218_075532,20251218_075543,0.09322723145568612,0.08669927590845888,0.179926507364145
Closure_131,20251218_075532,20251218_075543,0.08767699959522135,0.08259659456281578,0.1702735941580371
