Case 差值分析 (按总差值降序排列)
====================================================================================================
Case                                     PPL差            AvgNLL差              总差             
----------------------------------------------------------------------------------------------------
Closure_111                              0.363789        0.307192             0.670981       
Jsoup_65                                 0.291914        0.250045             0.541958       
JacksonDatabind_96                       0.284095        0.241237             0.525332       
Closure_18                               0.279218        0.244824             0.524042       
JacksonDatabind_83                       0.262188        0.232427             0.494615       
Closure_48                               0.218505        0.197570             0.416075       
Math_50                                  0.186827        0.169975             0.356802       
Mockito_13                               0.182616        0.167508             0.350123       
Compress_4                               0.181882        0.164755             0.346637       
Cli_3                                    0.175304        0.159281             0.334585       
JacksonDatabind_14                       0.166297        0.149222             0.315520       
Math_74                                  0.159734        0.147993             0.307727       
Math_81                                  0.157135        0.145797             0.302932       
Collections_7                            0.154037        0.142967             0.297004       
Closure_132                              0.146384        0.136566             0.282950       
Time_26                                  0.139382        0.130233             0.269615       
JacksonCore_22                           0.135494        0.126496             0.261990       
JacksonDatabind_31                       0.142865        0.110403             0.253267       
Closure_104                              0.113912        0.107283             0.221195       
Closure_59                               0.113450        0.107255             0.220705       
Collections_9                            0.112248        0.102142             0.214390       
JacksonCore_12                           0.110188        0.103878             0.214066       
JacksonDatabind_37                       0.106271        0.100157             0.206427       
Collections_15                           0.105321        0.097245             0.202566       
Collections_5                            0.098901        0.093148             0.192049       
JacksonCore_23                           0.093227        0.086699             0.179927       
Closure_131                              0.087677        0.082597             0.170274       
Codec_4                                  0.086783        0.081790             0.168573       
Jsoup_5                                  0.086816        0.079942             0.166757       
Collections_26                           0.085492        0.079557             0.165049       
Math_69                                  0.080851        0.077082             0.157932       
JacksonDatabind_11                       0.080701        0.075617             0.156318       
Jsoup_84                                 0.078708        0.074412             0.153121       
Closure_29                               0.077289        0.073987             0.151276       
Closure_52                               0.077225        0.073693             0.150918       
Closure_159                              0.077503        0.073138             0.150641       
Jsoup_40                                 0.074523        0.070915             0.145438       
JacksonDatabind_51                       0.071560        0.068696             0.140255       
Closure_90                               0.070797        0.068056             0.138852       
Closure_112                              0.071210        0.067577             0.138787       
Mockito_8                                0.064835        0.061834             0.126669       
Gson_1                                   0.063273        0.060664             0.123937       
Lang_27                                  0.062178        0.060222             0.122400       
Jsoup_64                                 0.061980        0.058360             0.120340       
Closure_55                               0.061119        0.057420             0.118540       
JacksonDatabind_68                       0.060212        0.058141             0.118353       
JacksonDatabind_64                       0.058472        0.056768             0.115240       
Jsoup_80                                 0.058244        0.056189             0.114433       
JacksonDatabind_7                        0.058031        0.055421             0.113452       
Closure_139                              0.057330        0.054524             0.111854       
Closure_173                              0.056156        0.054425             0.110580       
JacksonDatabind_22                       0.055369        0.053189             0.108558       
Math_63                                  0.053742        0.052107             0.105849       
Math_6                                   0.053701        0.051950             0.105651       
Collections_19                           0.054298        0.051198             0.105496       
Jsoup_70                                 0.052314        0.050800             0.103115       
Closure_150                              0.053666        0.049015             0.102681       
Closure_66                               0.051876        0.050529             0.102405       
Lang_63                                  0.051538        0.049370             0.100909       
Jsoup_2                                  0.051003        0.049667             0.100669       
Math_51                                  0.050894        0.049231             0.100125       
Time_20                                  0.050786        0.048504             0.099291       
JacksonXml_1                             0.050065        0.048346             0.098411       
Math_44                                  0.049997        0.047963             0.097960       
Math_91                                  0.049731        0.047230             0.096960       
JacksonDatabind_6                        0.049137        0.046753             0.095889       
Time_16                                  0.048567        0.046793             0.095360       
Closure_34                               0.048716        0.046175             0.094891       
Closure_97                               0.047198        0.045939             0.093138       
Closure_68                               0.047004        0.045848             0.092852       
Compress_26                              0.047145        0.044449             0.091594       
Closure_170                              0.044801        0.042583             0.087385       
Closure_9                                0.044216        0.042820             0.087036       
Compress_17                              0.043637        0.042343             0.085981       
Closure_60                               0.043530        0.042332             0.085862       
Math_71                                  0.043188        0.042225             0.085414       
Math_95                                  0.043891        0.041438             0.085329       
Math_39                                  0.042921        0.041924             0.084845       
Math_17                                  0.043516        0.040386             0.083902       
JacksonDatabind_15                       0.041036        0.039667             0.080703       
Closure_109                              0.040800        0.039710             0.080510       
Closure_140                              0.040693        0.039239             0.079932       
Time_3                                   0.040263        0.039367             0.079631       
Math_53                                  0.040489        0.038750             0.079239       
Closure_167                              0.039759        0.038889             0.078649       
Math_7                                   0.038255        0.037445             0.075700       
Closure_46                               0.038511        0.037059             0.075570       
JacksonDatabind_85                       0.038329        0.036797             0.075126       
Compress_28                              0.037842        0.036799             0.074641       
Closure_41                               0.037038        0.036242             0.073280       
Math_75                                  0.036588        0.035670             0.072258       
Closure_32                               0.036506        0.035695             0.072200       
Math_90                                  0.036452        0.035697             0.072149       
Closure_7                                0.036736        0.034839             0.071574       
Math_20                                  0.036457        0.034959             0.071415       
JacksonDatabind_25                       0.035860        0.035165             0.071025       
Closure_126                              0.035955        0.034947             0.070902       
Closure_69                               0.035997        0.034832             0.070829       
Jsoup_75                                 0.036180        0.034467             0.070648       
Codec_7                                  0.035511        0.034681             0.070192       
