批量 sr edit 校验报告
生成时间: 2025-12-19T08:20:34

输入目录: D4C/ppl/result/20251218_075543
Chart_25: buggy=2, sr=4, status=FAIL
Cli_18: buggy=3, sr=2, status=FAIL
Closure_139: buggy=2, sr=1, status=FAIL
Closure_147: buggy=2, sr=1, status=FAIL
Closure_156: buggy=5, sr=4, status=FAIL
Closure_167: buggy=6, sr=3, status=FAIL
Closure_173: buggy=2, sr=1, status=FAIL
Closure_174: buggy=3, sr=2, status=FAIL
Closure_18: buggy=1, sr=0, status=FAIL
Closure_3: buggy=3, sr=2, status=FAIL
Closure_33: buggy=1, sr=0, status=FAIL
Closure_34: buggy=3, sr=1, status=FAIL
Closure_41: buggy=2, sr=4, status=FAIL
Closure_46: buggy=1, sr=0, status=FAIL
Closure_48: buggy=1, sr=0, status=FAIL
Closure_49: buggy=3, sr=2, status=FAIL
Collections_7: buggy=13, sr=0, status=FAIL
Compress_32: buggy=1, sr=2, status=FAIL
Compress_4: buggy=4, sr=0, status=FAIL
Compress_43: buggy=4, sr=3, status=FAIL
Compress_47: buggy=2, sr=1, status=FAIL
Compress_9: buggy=1, sr=2, status=FAIL
Gson_2: buggy=2, sr=1, status=FAIL
Gson_4: buggy=10, sr=7, status=FAIL
JacksonCore_12: buggy=7, sr=0, status=FAIL
JacksonCore_19: buggy=2, sr=3, status=FAIL
JacksonCore_2: buggy=6, sr=2, status=FAIL
JacksonCore_21: buggy=1, sr=3, status=FAIL
JacksonCore_22: buggy=3, sr=2, status=FAIL
JacksonCore_24: buggy=4, sr=6, status=FAIL
JacksonDatabind_112: buggy=1, sr=0, status=FAIL
JacksonDatabind_15: buggy=9, sr=2, status=FAIL
JacksonDatabind_22: buggy=5, sr=0, status=FAIL
JacksonDatabind_25: buggy=4, sr=3, status=FAIL
JacksonDatabind_31: buggy=17, sr=0, status=FAIL
JacksonDatabind_56: buggy=1, sr=0, status=FAIL
JacksonDatabind_68: buggy=6, sr=1, status=FAIL
JacksonDatabind_69: buggy=3, sr=2, status=FAIL
JacksonDatabind_75: buggy=3, sr=2, status=FAIL
JacksonDatabind_83: buggy=1, sr=0, status=FAIL
JacksonDatabind_96: buggy=1, sr=0, status=FAIL
JacksonXml_3: buggy=1, sr=0, status=FAIL
Jsoup_11: buggy=2, sr=1, status=FAIL
Jsoup_15: buggy=1, sr=2, status=FAIL
JxPath_14: buggy=3, sr=1, status=FAIL
Lang_15: buggy=2, sr=3, status=FAIL
Lang_30: buggy=6, sr=3, status=FAIL
Lang_46: buggy=6, sr=5, status=FAIL
Lang_54: buggy=1, sr=2, status=FAIL
Math_23: buggy=1, sr=3, status=FAIL
Math_24: buggy=1, sr=6, status=FAIL
Math_38: buggy=1, sr=5, status=FAIL
Math_50: buggy=1, sr=0, status=FAIL
Math_6: buggy=7, sr=5, status=FAIL
Math_66: buggy=5, sr=4, status=FAIL
Math_74: buggy=1, sr=0, status=FAIL
Math_81: buggy=3, sr=1, status=FAIL
Mockito_13: buggy=1, sr=0, status=FAIL
Mockito_30: buggy=2, sr=3, status=FAIL
Mockito_6: buggy=20, sr=12, status=FAIL
Time_2: buggy=3, sr=2, status=FAIL
Time_26: buggy=8, sr=2, status=FAIL
Time_3: buggy=10, sr=8, status=FAIL
Time_6: buggy=3, sr=2, status=FAIL

Total: 698, Failures: 64, Errors: 0
