level,cluster_key,slug,chosen_model,successes,attempts
0,root_c0,Closure_46,gen,10,10
0,root_c0,Gson_14,gen,1,10
0,root_c0,Gson_2,gen,10,10
0,root_c0,Gson_6,gen,8,10
0,root_c0,JacksonDatabind_107,gen,1,10
0,root_c0,JacksonDatabind_112,gen,9,10
0,root_c0,JacksonDatabind_12,gen,10,10
0,root_c0,JacksonDatabind_17,gen,9,10
0,root_c0,JacksonDatabind_19,gen,9,10
0,root_c0,JacksonDatabind_27,gen,6,10
0,root_c0,JacksonDatabind_33,gen,10,10
0,root_c0,JacksonDatabind_41,gen,9,10
0,root_c0,JacksonDatabind_47,gen,9,10
0,root_c0,JacksonDatabind_48,gen,10,10
0,root_c0,JacksonDatabind_54,gen,6,10
0,root_c0,JacksonDatabind_58,gen,5,10
0,root_c0,JacksonDatabind_5,gen,1,10
0,root_c0,JacksonDatabind_61,gen,2,10
0,root_c0,JacksonDatabind_63,gen,1,10
0,root_c0,JacksonDatabind_67,gen,4,10
0,root_c0,JacksonDatabind_88,gen,1,10
0,root_c0,JacksonDatabind_8,gen,2,10
0,root_c0,JacksonDatabind_90,gen,1,10
0,root_c0,JacksonDatabind_93,gen,9,10
0,root_c0,JacksonDatabind_96,gen,2,10
0,root_c0,JacksonDatabind_99,gen,6,10
0,root_c1,Codec_2,gen,9,10
0,root_c1,Codec_4,gen,10,10
0,root_c1,Codec_5,gen,7,10
0,root_c1,Codec_7,gen,10,10
0,root_c1,Codec_9,gen,10,10
0,root_c1,Compress_10,gen,1,10
0,root_c1,Compress_11,gen,2,10
0,root_c1,Compress_12,gen,10,10
0,root_c1,Compress_13,gen,10,10
0,root_c1,Compress_14,gen,2,10
0,root_c1,Compress_15,gen,10,10
0,root_c1,Compress_19,gen,10,10
0,root_c1,Compress_1,gen,6,10
0,root_c1,Compress_21,gen,10,10
0,root_c1,Compress_23,gen,4,10
0,root_c1,Compress_24,gen,7,10
0,root_c1,Compress_25,gen,5,10
0,root_c1,Compress_26,gen,10,10
0,root_c1,Compress_27,gen,5,10
0,root_c1,Compress_28,gen,10,10
0,root_c1,Compress_30,gen,10,10
0,root_c1,Compress_31,gen,5,10
0,root_c1,Compress_32,gen,6,10
0,root_c1,Compress_37,gen,3,10
0,root_c1,Compress_41,gen,10,10
0,root_c1,Compress_44,gen,10,10
0,root_c1,Compress_46,gen,8,10
0,root_c1,Compress_5,gen,8,10
0,root_c1,Compress_7,gen,10,10
0,root_c1,Jsoup_90,gen,10,10
0,root_c2,Chart_13,sr,1,10
0,root_c2,Math_102,sr,8,10
0,root_c2,Math_103,sr,7,8
0,root_c2,Math_105,sr,1,10
0,root_c2,Math_11,sr,2,10
0,root_c2,Math_19,sr,10,10
0,root_c2,Math_20,sr,10,10
0,root_c2,Math_22,sr,10,10
0,root_c2,Math_24,sr,1,10
0,root_c2,Math_25,sr,1,9
0,root_c2,Math_28,sr,1,10
0,root_c2,Math_29,sr,3,10
0,root_c2,Math_35,sr,10,10
0,root_c2,Math_3,sr,10,10
0,root_c2,Math_41,sr,10,10
0,root_c2,Math_45,sr,9,10
0,root_c2,Math_48,sr,5,10
0,root_c2,Math_4,sr,10,10
0,root_c2,Math_58,sr,1,10
0,root_c2,Math_60,sr,4,10
0,root_c2,Math_69,sr,4,10
0,root_c2,Math_70,sr,10,10
0,root_c2,Math_72,sr,4,10
0,root_c2,Math_73,sr,10,10
0,root_c2,Math_77,sr,5,5
0,root_c2,Math_78,sr,5,9
0,root_c2,Math_82,sr,10,10
0,root_c2,Math_84,sr,1,10
0,root_c2,Math_85,sr,2,10
0,root_c2,Math_86,sr,4,10
0,root_c2,Math_87,sr,2,10
0,root_c2,Math_95,sr,9,10
0,root_c2,Math_97,sr,8,10
0,root_c2,Math_98,sr,10,10
0,root_c3,Chart_11,sr,9,10
0,root_c3,Collections_17,sr,2,10
0,root_c3,JxPath_5,sr,4,10
0,root_c3,JxPath_8,sr,10,10
0,root_c3,Lang_22,sr,6,10
0,root_c3,Lang_49,sr,9,10
0,root_c3,Math_1,sr,2,10
0,root_c3,Math_26,sr,5,10
0,root_c3,Math_27,sr,10,10
0,root_c3,Math_46,sr,1,10
0,root_c3,Math_53,sr,8,10
0,root_c3,Math_59,sr,10,10
0,root_c3,Math_5,sr,1,10
0,root_c3,Math_63,sr,8,10
0,root_c3,Math_91,sr,10,10
0,root_c3,Math_94,sr,5,10
0,root_c3,Mockito_22,sr,9,10
0,root_c3,Time_15,sr,10,10
0,root_c4,Closure_12,gen,3,10
0,root_c4,Closure_145,gen,2,10
0,root_c4,Closure_152,gen,2,10
0,root_c4,Closure_15,gen,5,10
0,root_c4,Closure_18,gen,7,10
0,root_c4,Closure_19,gen,8,10
0,root_c4,Closure_36,gen,9,10
0,root_c4,Closure_39,gen,3,10
0,root_c4,Closure_41,gen,3,10
0,root_c4,Closure_53,gen,9,10
0,root_c4,Closure_57,gen,10,10
0,root_c4,Closure_58,gen,7,10
0,root_c4,Closure_59,gen,4,10
0,root_c4,Closure_61,gen,7,10
0,root_c4,Closure_76,gen,1,10
0,root_c4,Closure_78,gen,10,10
0,root_c4,Closure_86,gen,4,10
0,root_c4,Closure_92,gen,4,10
0,root_c4,Closure_94,gen,8,10
0,root_c4,Closure_97,gen,4,10
0,root_c4,Closure_9,gen,2,10
0,root_c5,Chart_12,gen,10,10
0,root_c5,Chart_14,gen,2,10
0,root_c5,Chart_15,gen,10,10
0,root_c5,Chart_16,gen,1,10
0,root_c5,Chart_1,gen,10,10
0,root_c5,Chart_20,gen,10,10
0,root_c5,Chart_24,gen,10,10
0,root_c5,Chart_25,gen,10,10
0,root_c5,Chart_26,gen,10,10
0,root_c5,Chart_4,gen,10,10
0,root_c5,Chart_5,gen,4,10
0,root_c5,Chart_7,gen,10,10
0,root_c5,Chart_8,gen,10,10
0,root_c5,Chart_9,gen,4,10
0,root_c5,Gson_5,gen,10,10
0,root_c5,JacksonDatabind_6,gen,1,10
0,root_c5,Lang_21,gen,8,10
0,root_c5,Lang_26,gen,10,10
0,root_c5,Lang_50,gen,10,10
0,root_c5,Lang_53,gen,10,10
0,root_c5,Lang_63,gen,3,10
0,root_c5,Math_75,gen,10,10
0,root_c5,Time_16,gen,5,10
0,root_c5,Time_18,gen,5,10
0,root_c5,Time_20,gen,7,10
0,root_c5,Time_23,gen,9,10
