level,cluster_key,cluster_file,size_raw,size_unique,representatives,chosen_model,reason,rep_gen_successes,rep_sr_successes
1,root_c0_c0,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c0_c0.json,8,8,Mockito_7_query,gen,rep_not_fixed_by_either_default_gen,0,0
1,root_c0_c1,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c0_c1.json,17,17,JacksonDatabind_59_query,gen,rep_not_fixed_by_either_default_gen,0,0
1,root_c0_c2,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c0_c2.json,7,7,JacksonDatabind_99_query,gen,both_fix_rep_gen_more_success(6>5),6,5
1,root_c0_c3,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c0_c3.json,20,20,JacksonDatabind_52_query,gen,rep_not_fixed_by_either_default_gen,0,0
1,root_c0_c4,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c0_c4.json,7,7,Gson_14_query,gen,rep_fixed_by_gen_only,1,0
1,root_c1_c0,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c1_c0.json,5,5,Codec_2_query,gen,rep_fixed_by_gen_only,9,0
1,root_c1_c1,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c1_c1.json,30,30,Compress_14_query|Compress_17_query,gen,both_fix_rep_gen_more_success(2>1),2,1
1,root_c1_c2,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c1_c2.json,4,4,Compress_1_query,sr,both_fix_rep_sr_more_success(10>6),6,10
1,root_c1_c3,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c1_c3.json,5,5,Compress_30_query,gen,both_fix_rep_gen_more_success(10>5),10,5
1,root_c1_c4,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c1_c4.json,3,3,Codec_8_query,gen,rep_not_fixed_by_either_default_gen,0,0
1,root_c2_c0,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c2_c0.json,19,19,Math_13_query,gen,rep_not_fixed_by_either_default_gen,0,0
1,root_c2_c1,/home/base/APR/D4C/dpp/result_cluster/level_1/root_c2_c1.json,7,7,Math_49_query,gen,rep_not_fixed_by_either_default_gen,0,0
