level,cluster_key,point_id,slug,chosen_model,fixed,successes,attempts,gen_diff,gen_fix
2,root_c0_c0_c0,Gson_1_query,Gson_1,gen,0,0,10,,
2,root_c0_c0_c0,Lang_15_query,Lang_15,gen,0,0,10,,
2,root_c0_c0_c1,Mockito_12_query,Mockito_12,gen,0,0,10,,
2,root_c0_c0_c1,Mockito_20_query,Mockito_20,gen,0,0,10,,
2,root_c0_c0_c1,Mockito_21_query,Mockito_21,gen,0,0,10,,
2,root_c0_c0_c1,Mockito_28_query,Mockito_28,gen,0,0,10,,
2,root_c0_c0_c2,Mockito_7_query,Mockito_7,gen,0,0,10,,
2,root_c0_c0_c2,Mockito_8_query,Mockito_8,gen,0,0,10,,
2,root_c0_c1_c0,JacksonDatabind_17_query,JacksonDatabind_17,gen,1,9,10,np.nan,"```java
public boolean useForType(JavaType t)
{
    switch (_appliesFor) {
    case NON_CONCRETE_AND_ARRAYS:
        while (t.isArrayType()) {
            t = t.getContentType();
        }
        // fall through
    case OBJECT_AND_NON_CONCRETE:
        return (t.getRawClass() == Object.class)
                || (!t.isConcrete()
                // [databind#88] Should not apply to JSON tree models:
                && !TreeNode.class.isAssignableFrom(t.getRawClass()));

    case NON_FINAL:
        while (t.isArrayType()) {
            t = t.getContentType();
        }
        // [Issue#88] Should not apply to JSON tree models:
        return !t.isFinal() && !TreeNode.class.isAssignableFrom(t.getRawClass());
    default:
        return (t.getRawClass() == Object.class);
    }
}
```"
2,root_c0_c1_c0,JacksonDatabind_37_query,JacksonDatabind_37,gen,0,0,2,,
2,root_c0_c1_c0,JacksonDatabind_44_query,JacksonDatabind_44,gen,0,0,7,,
2,root_c0_c1_c0,JacksonDatabind_61_query,JacksonDatabind_61,gen,1,2,10,np.nan,"```java
public boolean useForType(JavaType t)
{
    // Skip primitive types and their wrappers
    if (t.isPrimitive() || t.isWrapperType()) {
        return false;
    }

    switch (_appliesFor) {
    case NON_CONCRETE_AND_ARRAYS:
        while (t.isArrayType()) {
            t = t.getContentType();
        }
        // fall through
    case OBJECT_AND_NON_CONCRETE:
        while (t.isReferenceType()) {
            t = t.getReferencedType();
        }
        return t.isJavaLangObject()
                || (!t.isConcrete()
                        && !TreeNode.class.isAssignableFrom(t.getRawClass()));

    case NON_FINAL:
        while (t.isArrayType()) {
            t = t.getContentType();
        }
        while (t.isReferenceType()) {
            t = t.getReferencedType();
        }
        return !t.isFinal() && !TreeNode.class.isAssignableFrom(t.getRawClass());
    default:
        return t.isJavaLangObject();
    }
}
```

```java
@Override
public TypeDeserializer buildTypeDeserializer(DeserializationConfig config,
        JavaType baseType, Collection<NamedType> subtypes)
{
    if (_idType == JsonTypeInfo.Id.NONE) { return null; }
    
    // Skip primitive types and their wrappers
    if (baseType.isPrimitive() || baseType.isWrapperType()) {
        return null;
    }

    TypeIdResolver idRes = idResolver(config, baseType, subtypes, false, true);

    JavaType defaultImpl;
    if (_defaultImpl == null) {
        defaultImpl = null;
    } else {
        if ((_defaultImpl == Void.class) || (_defaultImpl == NoClass.class)) {
            defaultImpl = config.getTypeFactory().constructType(_defaultImpl);
        } else {
            defaultImpl = config.getTypeFactory()
                .constructSpecializedType(baseType, _defaultImpl);
        }
    }

    switch (_includeAs) {
    case WRAPPER_ARRAY:
        return new AsArrayTypeDeserializer(baseType, idRes,
                _typeProperty, _typeIdVisible, defaultImpl);
    case PROPERTY:
    case EXISTING_PROPERTY:
        return new AsPropertyTypeDeserializer(baseType, idRes,
                _typeProperty, _typeIdVisible, defaultImpl, _includeAs);
    case WRAPPER_OBJECT:
        return new AsWrapperTypeDeserializer(baseType, idRes,
                _typeProperty, _typeIdVisible, defaultImpl);
    case EXTERNAL_PROPERTY:
        return new AsExternalTypeDeserializer(baseType, idRes,
                _typeProperty, _typeIdVisible, defaultImpl);
    }
    throw new IllegalStateException(""Do not know how to construct standard type serializer for inclusion type: ""+_includeAs);
}
```

```java
@Override
public TypeSerializer buildTypeSerializer(SerializationConfig config,
        JavaType baseType, Collection<NamedType> subtypes)
{
    if (_idType == JsonTypeInfo.Id.NONE) { return null; }
    
    // Skip primitive types and their wrappers
    if (baseType.isPrimitive() || baseType.isWrapperType()) {
        return null;
    }

    TypeIdResolver idRes = idResolver(config, baseType, subtypes, true, false);
    switch (_includeAs) {
    case WRAPPER_ARRAY:
        return new AsArrayTypeSerializer(idRes, null);
    case PROPERTY:
        return new AsPropertyTypeSerializer(idRes, null, _typeProperty);
    case WRAPPER_OBJECT:
        return new AsWrapperTypeSerializer(idRes, null);
    case EXTERNAL_PROPERTY:
        return new AsExternalTypeSerializer(idRes, null, _typeProperty);
    case EXISTING_PROPERTY:
        return new AsExistingPropertyTypeSerializer(idRes, null, _typeProperty);
    }
    throw new IllegalStateException(""Do not know how to construct standard type serializer for inclusion type: ""+_includeAs);
}
```"
2,root_c0_c1_c0,JacksonDatabind_93_query,JacksonDatabind_93,gen,1,9,10,np.nan,"```java
public void validateSubType(DeserializationContext ctxt, JavaType type) throws JsonMappingException
    {
        // There are certain nasty classes that could cause problems, mostly
        // via default typing -- catch them here.
        if (type == null) {
            throw JsonMappingException.from(ctxt, ""Null type to deserialize"");
        }
        
        final Class<?> raw = type.getRawClass();
        if (raw == null) {
            throw JsonMappingException.from(ctxt, ""Null raw class in type to deserialize"");
        }
        
        String full = raw.getName();

        main_check:
        do {
            if (_cfgIllegalClassNames != null && _cfgIllegalClassNames.contains(full)) {
                break;
            }

            // 18-Dec-2017, tatu: As per [databind#1855], need bit more sophisticated handling
            //    for some Spring framework types
            // 05-Jan-2017, tatu: ... also, only applies to classes, not interfaces
            if (full.startsWith(PREFIX_STRING)) {
                for (Class<?> cls = raw; cls != null && cls != Object.class; cls = cls.getSuperclass()) {
                    String name = cls.getSimpleName();
                    // looking for ""AbstractBeanFactoryPointcutAdvisor"" but no point to allow any is there?
                    if (""AbstractPointcutAdvisor"".equals(name)
                            // ditto  for ""FileSystemXmlApplicationContext"": block all ApplicationContexts
                            || ""AbstractApplicationContext"".equals(name)) {
                        break main_check;
                    }
                }
            }
            return;
        } while (false);

        throw JsonMappingException.from(ctxt,
                String.format(""Illegal type (%s) to deserialize: prevented for security reasons"", full));
    }
```"
2,root_c0_c1_c1,JacksonDatabind_107_query,JacksonDatabind_107,gen,1,1,10,np.nan,"```java
protected final JsonDeserializer<Object> _findDeserializer(DeserializationContext ctxt,
            String typeId) throws IOException
    {
        JsonDeserializer<Object> deser = _deserializers.get(typeId);
        if (deser == null) {
            JavaType type = _idResolver.typeFromId(ctxt, typeId);
            if (type == null) {
                deser = _findDefaultImplDeserializer(ctxt);
                if (deser == null) {
                    JavaType actual = _handleUnknownTypeId(ctxt, typeId);
                    if (actual == null) {
                        // Return a dummy deserializer that returns null instead of null
                        return new JsonDeserializer<Object>() {
                            @Override
                            public Object deserialize(JsonParser p, DeserializationContext ctxt) throws IOException {
                                return null;
                            }
                        };
                    }
                    deser = ctxt.findContextualValueDeserializer(actual, _property);
                }
            } else {
                if ((_baseType != null)
                        && _baseType.getClass() == type.getClass()) {
                    if (!type.hasGenericTypes()) {
                        type = ctxt.getTypeFactory().constructSpecializedType(_baseType, type.getRawClass());
                    }
                }
                deser = ctxt.findContextualValueDeserializer(type, _property);
            }
            if (deser != null) {
                _deserializers.put(typeId, deser);
            }
        }
        return deser;
    }
```"
2,root_c0_c1_c1,JacksonDatabind_25_query,JacksonDatabind_25,gen,0,0,10,,
2,root_c0_c1_c1,JacksonDatabind_35_query,JacksonDatabind_35,gen,0,0,10,,
2,root_c0_c1_c1,JacksonDatabind_51_query,JacksonDatabind_51,gen,0,0,10,,
2,root_c0_c1_c1,JacksonDatabind_59_query,JacksonDatabind_59,gen,0,0,9,,
2,root_c0_c1_c1,JacksonDatabind_77_query,JacksonDatabind_77,gen,0,0,10,,
2,root_c0_c1_c1,JacksonDatabind_80_query,JacksonDatabind_80,gen,0,0,10,,
2,root_c0_c1_c1,JacksonDatabind_88_query,JacksonDatabind_88,gen,1,1,10,np.nan,"```java
protected JavaType _typeFromId(String id, DatabindContext ctxt) throws IOException
    {
        /* 30-Jan-2010, tatu: Most ids are basic class names; so let's first
         *    check if any generics info is added; and only then ask factory
         *    to do translation when necessary
         */
        TypeFactory tf = ctxt.getTypeFactory();
        if (id.indexOf('<') > 0) {
            // note: may want to try combining with specialization (esp for EnumMap)?
            // 17-Aug-2017, tatu: As per [databind#1735] need to ensure assignment
            //    compatibility -- needed later anyway, and not doing so may open
            //    security issues.
            JavaType t = tf.constructFromCanonical(id);
            if (!_baseType.isTypeOrSuperTypeOf(t.getRawClass())) {
                throw new IllegalArgumentException(""Type id '""+id+""' not subtype of ""+_baseType);
            }
            return t;
        }
        Class<?> cls;
        try {
            cls =  tf.findClass(id);
        } catch (ClassNotFoundException e) {
            // 24-May-2016, tatu: Ok, this is pretty ugly, but we should always get
            //   DeserializationContext, just playing it safe
            if (ctxt instanceof DeserializationContext) {
                DeserializationContext dctxt = (DeserializationContext) ctxt;
                // First: we may have problem handlers that can deal with it?
                return dctxt.handleUnknownTypeId(_baseType, id, this, ""no such class found"");
            }
            // ... meaning that we really should never get here.
            return null;
        } catch (Exception e) {
            throw new IllegalArgumentException(""Invalid type id '""+id+""' (for id type 'Id.class'): ""+e.getMessage(), e);
        }
        return tf.constructSpecializedType(_baseType, cls);
    }
```"
2,root_c0_c1_c2,JacksonDatabind_47_query,JacksonDatabind_47,gen,1,9,10,np.nan,"```java
public JavaType refineSerializationType(final MapperConfig<?> config,
            final Annotated a, final JavaType baseType) throws JsonMappingException
    {
        JavaType type = baseType;
        final TypeFactory tf = config.getTypeFactory();
        
        // Ok: start by refining the main type itself; common to all types
        Class<?> serClass = findSerializationType(a);
        if (serClass != null) {
            if (type.hasRawClass(serClass)) {
                type = type.withStaticTyping();
            } else {
                Class<?> currRaw = type.getRawClass();
                try {
                    if (serClass.isAssignableFrom(currRaw)) {
                        type = tf.constructGeneralizedType(type, serClass);
                    } else if (currRaw.isAssignableFrom(serClass)) {
                        type = tf.constructSpecializedType(type, serClass);
                    } else {
                        throw new JsonMappingException(null,
                                String.format(""Can not refine serialization type %s into %s; types not related"",
                                        type, serClass.getName()));
                    }
                } catch (IllegalArgumentException iae) {
                    throw new JsonMappingException(null,
                            String.format(""Failed to widen type %s with annotation (value %s), from '%s': %s"",
                                    type, serClass.getName(), a.getName(), iae.getMessage()),
                                    iae);
                }
            }
        }

        // Then further processing for container types
        // First, key type (for Maps, Map-like types):
        if (type.isMapLikeType()) {
            JavaType keyType = type.getKeyType();
            Class<?> keyClass = findSerializationKeyType(a, keyType);
            if (keyClass != null) {
                if (keyType.hasRawClass(keyClass)) {
                    keyType = keyType.withStaticTyping();
                } else {
                    Class<?> currRaw = keyType.getRawClass();
                    try {
                        if (keyClass.isAssignableFrom(currRaw)) {
                            keyType = tf.constructGeneralizedType(keyType, keyClass);
                        } else if (currRaw.isAssignableFrom(keyClass)) {
                            keyType = tf.constructSpecializedType(keyType, keyClass);
                        } else {
                            throw new JsonMappingException(null,
                                    String.format(""Can not refine serialization key type %s into %s; types not related"",
                                            keyType, keyClass.getName()));
                        }
                    } catch (IllegalArgumentException iae) {
                        throw new JsonMappingException(null,
                                String.format(""Failed to widen key type of %s with concrete-type annotation (value %s), from '%s': %s"",
                                        type, keyClass.getName(), a.getName(), iae.getMessage()),
                                        iae);
                    }
                }
                type = ((MapLikeType) type).withKeyType(keyType);
            }
        }

        JavaType contentType = type.getContentType();
        if (contentType != null) {
            Class<?> contentClass = findSerializationContentType(a, contentType);
            if (contentClass != null) {
                if (contentType.hasRawClass(contentClass)) {
                    contentType = contentType.withStaticTyping();
                } else {
                    Class<?> currRaw = contentType.getRawClass();
                    try {
                        if (contentClass.isAssignableFrom(currRaw)) {
                            contentType = tf.constructGeneralizedType(contentType, contentClass);
                        } else if (currRaw.isAssignableFrom(contentClass)) {
                            contentType = tf.constructSpecializedType(contentType, contentClass);
                        } else {
                            throw new JsonMappingException(null,
                                    String.format(""Can not refine serialization content type %s into %s; types not related"",
                                            contentType, contentClass.getName()));
                        }
                    } catch (IllegalArgumentException iae) {
                        throw new JsonMappingException(null,
                                String.format(""Internal error: failed to refine value type of %s with concrete-type annotation (value %s), from '%s': %s"",
                                        type, contentClass.getName(), a.getName(), iae.getMessage()),
                                        iae);
                    }
                }
                type = type.withContentType(contentType);
            }
        }
        return type;
    }
```"
2,root_c0_c1_c2,JacksonDatabind_67_query,JacksonDatabind_67,gen,1,4,10,np.nan,"```java
@Override
public KeyDeserializer createKeyDeserializer(DeserializationContext ctxt,
        JavaType type)
    throws JsonMappingException
{
    final DeserializationConfig config = ctxt.getConfig();
    KeyDeserializer deser = null;
    if (_factoryConfig.hasKeyDeserializers()) {
        BeanDescription beanDesc = config.introspectClassAnnotations(type.getRawClass());
        for (KeyDeserializers d  : _factoryConfig.keyDeserializers()) {
            deser = d.findKeyDeserializer(type, config, beanDesc);
            if (deser != null) {
                break;
            }
        }
    }
    // the only non-standard thing is this:
    if (deser == null) {
        if (type.isEnumType()) {
            deser = _createEnumKeyDeserializer(ctxt, type);
        } else {
            deser = StdKeyDeserializers.findStringBasedKeyDeserializer(config, type);
        }
    }
    // and then post-processing
    if (deser != null) {
        if (_factoryConfig.hasDeserializerModifiers()) {
            for (BeanDeserializerModifier mod : _factoryConfig.deserializerModifiers()) {
                deser = mod.modifyKeyDeserializer(config, type, deser);
            }
        }
    }
    return deser;
}
```"
2,root_c0_c1_c2,JacksonDatabind_81_query,JacksonDatabind_81,gen,0,0,10,,
2,root_c0_c1_c2,JacksonDatabind_91_query,JacksonDatabind_91,gen,0,0,10,,
2,root_c0_c2_c0,JacksonDatabind_11_query,JacksonDatabind_11,gen,0,0,10,,
2,root_c0_c2_c0,JacksonDatabind_41_query,JacksonDatabind_41,gen,1,9,10,np.nan,"```java
@Deprecated
    public JavaType constructType(Type type, JavaType contextType) {
        if (type == null) {
            throw new IllegalArgumentException(""Unrecognized Type: [null]"");
        }
        return _fromAny(null, type, contextType == null ? null : contextType.getBindings());
    }
```

```java
@Deprecated
    public JavaType constructType(Type type, Class<?> contextClass) {
        if (type == null) {
            throw new IllegalArgumentException(""Unrecognized Type: [null]"");
        }
        return constructType(type, contextClass == null ? null : constructType(contextClass));
    }
```"
2,root_c0_c2_c1,JacksonDatabind_46_query,JacksonDatabind_46,gen,0,0,10,,
2,root_c0_c2_c2,JacksonDatabind_16_query,JacksonDatabind_16,gen,0,0,2,,
2,root_c0_c2_c2,JacksonDatabind_63_query,JacksonDatabind_63,gen,1,1,10,np.nan,"```java
public String getDescription() {
    if (_desc == null) {
        StringBuilder sb = new StringBuilder();

        if (_from == null) { // can this ever occur?
            sb.append(""UNKNOWN"");
        } else {
            Class<?> cls = (_from instanceof Class<?>) ? (Class<?>)_from : _from.getClass();
            // Use getName() instead of getSimpleName() to include enclosing class names
            String name = cls.getName();
            // Remove package name if present
            int lastDot = name.lastIndexOf('.');
            if (lastDot >= 0) {
                name = name.substring(lastDot + 1);
            }
            sb.append(name);
        }
        sb.append('[');
        if (_fieldName != null) {
            sb.append('""');
            sb.append(_fieldName);
            sb.append('""');
        } else if (_index >= 0) {
            sb.append(_index);
        } else {
            sb.append('?');
        }
        sb.append(']');
        _desc = sb.toString();
    }
    return _desc;
}
```"
2,root_c0_c2_c2,JacksonDatabind_95_query,JacksonDatabind_95,gen,0,0,10,,
2,root_c0_c2_c2,JacksonDatabind_99_query,JacksonDatabind_99,gen,1,6,10,np.nan,"```java
@Override
    protected String buildCanonicalName()
    {
        StringBuilder sb = new StringBuilder();
        sb.append(_class.getName());
        sb.append('<');
        sb.append(_referencedType.toCanonical());
        sb.append('>');
        return sb.toString();
    }
```"
2,root_c0_c3_c0,JacksonDatabind_12_query,JacksonDatabind_12,gen,1,10,10,np.nan,"```java
@Override
    public boolean isCachable() {
        /* As per [databind#735], existence of value or key deserializer (only passed
         * if annotated to use non-standard one) should also prevent caching.
         */
        return (_valueTypeDeserializer == null)
                && (_ignorableProperties == null)
                && (_valueDeserializer == null)
                && (_keyDeserializer == null);
    }
```"
